screen_size,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,used_price,new_price
12.93,8.0,8.0,32.0,3.0,3400.0,145.0,2019,407,300.26322997863997,353.08993783629
14.4,13.0,8.0,16.0,2.0,2920.0,160.0,2019,233,307.19266403827,340.43954792884
15.21,8.0,5.0,16.0,2.0,4000.0,185.0,2019,423,280.59059905108995,299.17743647880997
15.32,8.0,16.0,128.0,6.0,4000.0,184.0,2019,470,329.90339848945996,375.2632639219
15.9,8.0,8.0,64.0,3.0,4000.0,178.0,2019,280,294.5809134268,352.90224770292
20.12,12.0,20.0,512.0,12.0,4050.0,241.0,2019,478,449.52569516581997,531.28313912533
16.23,12.0,20.0,128.0,8.0,4000.0,196.0,2019,382,364.03751016372,421.80956235030993
16.23,12.0,16.0,128.0,8.0,4000.0,191.0,2019,374,352.60841131942,414.74455948977
15.27,12.0,32.0,64.0,4.0,4030.0,173.8,2019,396,325.45163694342,348.32318451564
16.23,12.0,32.0,64.0,6.0,4030.0,179.0,2019,406,331.82732321982996,378.1359064962
15.32,12.0,13.0,32.0,3.0,4000.0,186.0,2019,338,318.32100300666,335.42667437126994
15.24,14.5,8.0,32.0,3.0,4000.0,160.0,2019,386,290.12590123279,305.13542131603
15.47,16.0,5.0,32.0,3.0,3200.0,165.0,2019,325,299.35134183292,304.63992041518
15.32,14.5,16.0,64.0,3.0,3200.0,165.0,2019,347,305.50657717330995,345.02753537295
16.48,14.5,8.0,128.0,4.0,5000.0,190.0,2019,343,310.5635258149,330.87737308104
16.89,48.0,16.0,128.0,8.0,5000.0,215.0,2019,336,384.91738857014997,455.59323703292
16.31,14.5,8.0,128.0,6.0,4000.0,186.0,2019,330,356.11419824598,428.68042403493996
13.84,13.0,8.0,16.0,2.0,2600.0,157.0,2019,474,291.83789073740996,297.69369295956
12.7,8.0,5.0,16.0,1.0,2000.0,144.0,2019,349,258.32911444450997,279.85619273963
12.7,8.0,5.0,16.0,1.0,2000.0,144.0,2019,385,266.98364212609,278.61051091714995
16.89,48.0,16.0,64.0,6.0,5000.0,215.0,2019,506,357.45962736302,422.24558529630997
16.43,14.5,20.0,128.0,6.0,4000.0,175.0,2019,333,341.56819752818996,417.8479692761
13.84,13.0,8.0,16.0,2.0,3200.0,135.0,2018,595,302.20985383024,339.71764975655
15.27,16.0,5.0,32.0,2.0,3200.0,146.0,2019,420,294.67844067555,299.63196204759
14.5,13.0,5.0,64.0,3.0,3020.0,146.0,2020,138,303.31103614353,318.86921992783994
17.3,13.0,16.0,128.0,8.0,4300.0,213.0,2020,268,343.07488131708,374.90806121018
16.69,13.0,8.0,128.0,8.0,4200.0,213.0,2020,195,340.77292653968,399.59314899953995
15.32,13.0,8.0,64.0,3.0,5000.0,185.0,2020,346,304.08680426287,335.70325441630996
16.23,13.0,8.0,64.0,4.0,4000.0,176.0,2020,362,303.32663866976,344.73988830685
13.84,8.0,5.0,32.0,2.0,3020.0,144.0,2020,355,269.03054358144,306.07826426585996
15.77,13.0,8.0,64.0,4.0,3400.0,164.0,2020,202,324.34452303118,353.32569120425
15.32,13.0,16.0,128.0,6.0,4000.0,165.0,2020,310,326.22436792383,359.76797410126
16.23,13.0,8.0,128.0,6.0,4000.0,176.0,2020,141,328.12399540693997,344.13097865674
15.47,13.0,8.0,64.0,3.0,3020.0,150.0,2020,228,303.97872875755,318.47719702531
15.32,13.0,8.0,64.0,4.0,5000.0,185.0,2020,213,313.05553657425,324.73833760324
16.69,13.0,16.0,128.0,8.0,4100.0,206.0,2019,504,351.2663330176,421.80683691828
15.32,13.0,16.0,64.0,4.0,4000.0,171.5,2019,371,325.77747971738,366.12673014303
14.5,13.0,5.0,32.0,2.0,3020.0,146.0,2019,201,286.58670360488,305.3477587048
16.23,13.0,8.0,64.0,4.0,4000.0,176.0,2019,354,299.88681496723,330.5542644995
15.9,13.0,32.0,128.0,6.0,3750.0,172.0,2019,311,351.78801206898004,374.58104610589
16.74,13.0,16.0,64.0,4.0,4000.0,206.0,2019,524,317.77463024943995,352.32846327793
14.5,13.0,5.0,32.0,2.0,3020.0,146.0,2019,388,275.42781396479,325.49667383677
20.32,8.0,8.0,32.0,3.0,5100.0,173.0,2019,251,291.64361095719,359.65916577913
20.32,8.0,0.3,16.0,1.0,5680.0,453.6,2013,1048,332.74899672118,372.70042228553996
15.29,13.0,16.0,32.0,3.0,3850.0,170.0,2019,194,327.93966349098,352.15765862651
12.88,13.0,13.0,64.0,4.0,3075.0,150.0,2019,385,330.06143911683,366.17621364736
15.29,13.0,8.0,32.0,3.0,3300.0,160.0,2019,323,297.98967122446,340.16803424144
15.24,13.0,14.5,128.0,6.0,3930.0,180.0,2019,489,314.69167943716997,409.74107598371995
15.29,13.0,16.0,64.0,4.0,3850.0,170.0,2019,392,342.37182328027,383.12745869061996
15.37,10.5,16.0,128.0,6.0,4000.0,192.0,2020,204,330.41307404088,375.06284344783995
15.37,10.5,16.0,64.0,6.0,4000.0,182.0,2020,328,337.62723320303996,365.95945640415
15.32,10.5,16.0,128.0,4.0,4000.0,163.0,2020,134,343.55539393765,378.15923392075
